id,number,title,artist,album,year,language
2791,001,don't ask,,don't ask,1986,
8550,5,heroina przeszlosci (instrumental),azbest,demo,2012,polish
14237,4,any little thing - out of mothballs,dann baird,,,english
13143,5,sing was susses,jurgen von der lippe,sing was susses,'77,german
11940,9,009-hammer down,cross canadian ragweed,back to tulsa: live & & at cain's ballroom (2006),null,eng.
8346,2,ave maria (chiptune mix) - merry pixmas,8 bit weapon,,,english
4030,8,"america - 12"" archive 2.0",prince & revolution the,,'01,english
13155,040,pacific (a) (world of drones: (pt. 1)),robert j. j.,world of drones: (ppt. 1),,
13471,19,019-haunted hunter,billie maxwell,"when i was a cowboy: early american songs of the west, vol. i (unknown)",null,eng.
1250,011,anque me ruegues ((lagrimas de amor),ramon ayala jr.,lagrimas de amor,,
11090,4,starlight,sullen,reflections,2009,english
8709,001,nellie the elephant (junior choice - volume 1),mandy miller,junior choice - volume 1,1990,
16603,002,hac (sistol),sistol,sistol,1999,
7892,11,funf sterne deluxe feat. ferris mc - sowieso,,sillium,98,german
7663,19,019-diatribe,signal lost,pasazer 20 (2005),null,unknown
14692,10,hawkwind - 5/4,,out & intake,94,engl ish
15531,006,desde que vivo con otro (?quien te crees tu?),aflete,?quien te crees tu?,2008,
9023,016,acid yellow (sonny),clint mansell,sonny,2003,
19356,3,alara kalama - alla on et dure,,aigua viva,97,[multiple languages]
9733,8,material - mantra (praying mantra mix),,excursions in ambience: the second orbit,93,english
12646,25,fantaziia - legendy vialikaga kniastva: starazhytnaia ziamlia. gistarychnaia muzyka belarusi,viktar kis'tsen',,'05,belarusian
4437,96,american robin - the stokes field guide to bird songs: eastern & western box set,donald & lillian stokes with lang elliott,,,
15385,2,unknown,,"faith, hope & love",05,englissh
17712,10,the gits - still you don't know what it's like,,kings and queens,96,english
368,53,pimpadelic - 5 sec silence,,devils,,null
1112,2,002-,schizo,fight against the world (2006),null,unknown
546,6,the loyal shall inherit,divinity compromised,a world torn,2013,english
13586,14,that's it! - hen party,del rey & suzy thompson,,'10,english
10339,19,019-this little babe,chalmers damkor,julkonsert 2008,2008,unknown
14522,15,time to quit brussels - vanity fair,mychael danna,,'04,
3665,009,cheap motels (doublewide and live deluxe),southern culture on the skids,doublewide and live deluxe,2006,
8887,6,the psycheedlic furs - love my way,,electric 80's,,english
2971,12,012-schlaflied,f.o.d.,maschinentanz (2010),null,unknown
10317,16,016-time is tight,booker t. & the mgs,memphis soul classics (1987),null,eng.
13650,4,fall apart,death in june,something is coming,2002,engl ish
5321,1,kaetter kvartet - mandolinstykker,,live,98,danish
16025,5,005-communication,fuel,essential trance 2 (2000),null,eng.
13135,6,atticus finch - until,,everywhen,04,english
12922,14,the planet smashers - super orgy porno party,,smash hits,,null
6479,5,frederic rzewski - untitled (september 02) original reworking su attica,,main drag,03,english
8388,13,uberall auf der welt - die deutsche single hitparade 1972,freddy breck,,'99,german
15125,3,twice,anonymus,daemonium,2002,english
3869,6,"from ""treasure"" - the clangers",vernon elliot,,'01,english
11360,8,elemental synthesis - reflections within dissonance,arkai,,'10,english
17056,8,sisterkingkong - coast,,she sees wolves,12,english
6242,4,let me try - kaleidoscope,kaleidoscope,,'68,english
3484,12,love letters - the best... and friends album in the world ...ever! volume 2,julie london,,'00,english
9353,009,the locked in syndrome (a matter of trust),dark age,a matter of trust,2013,
18495,9,009-la valse a lydie,lydie auvray,premiere (1981),null,unknown
3954,6,006-timing of our lives,the class of 98,the alumni (unknon),null,unknown
5810,9,we've got the moon and sixpence,al bowlly with ray noble and his orchestra,the dance band years (disc 1),,english
13660,3,003-'ray' trailer,ray charles,genius loves company (2004),null,eng.
9400,11,planet rock - non stop 98/01,afrika bambaataa & soulsonic force,,'98,english
701,001,lefekszem a hoba (eloskodes: miskolc (2002-11-08)),kispal es a boruz,eloskodes: miskolc (2002-11-08),2003,
11805,2,i believe to my soul - blues at sunrise: live at montreux,albert king,,'90,english
5644,9,"concerto in f major, op. 8 no. 3, rv 293 ""autumn"": iii. allegro",antonio vivaldi,the four seasons: concerti (unknown),null,enga.
5313,13,devotchka - i. t. t.,,supermelodrama,03,english
14341,7,robert fripp - love cannot bear,,love cannotbear: soundscapes live in the usa,05,english
5910,5,above them - thank you,,...but inside i'm dancing,06,english
2842,12,"richard wagner - siegfried: aufzug iii, szene iii. ""lachend muss ich dich lieben"" (brunnhilde, siegfried)",,der ring des nibelungen,98,german
4451,22,have nots - sbc,,paper + plastick winter 2011 sampler,11,english
8050,3,the prophecy - the last warning,altar,,'93,english
17875,8,adelaide,david rovics,meanwhile in afganistan,2012,englsih
4140,6,006-around and arund,rainer & das combo,barefoot rock with... (unknown),null,eng.
9730,1,it's in your hands - home,shirley murdock,,,english
4236,3,ysengrin - satvrnia regna,,tragedies - liber hermetis,11,french
9901,007,nuday (remember tomorrow),mo' horizons,remember tomorrow,2001,
16574,005,the gambler (before shane went to bangkok: fun. live in the usa),fun.,before shane went to bangkok: fun. live in the usa,2013,
13737,19,the killer's song (the disco boys remix),carolina marquez,"kontor: top of the clubs, volume 27",2005,english
1859,004,talentime 2001??? (from where we sit),triplenoize,from where we sit,2002,
12517,28,sataan - satan im kuhstall,,die serie,00,german
6653,15,the alps,jan a.p. kaczmarek,washington square,1997,english
17669,7,martine mccutcheon - mamma mia,,abbamania,99,english
1456,010,locos y sucios (perdida),coki & the killer burritos,perdida,,
14912,007,rangac (traditional gypsy music from the balkans),zoltan and his gypsy ensemble,traditional gypsy music from the balkans,,
3455,13,013-i'll be there,the jackson 5,special lady (2000),null,eng.
11313,4,from ashes rise - product of lust,,fragments of a falling sky,98,english
18719,005,it's ok (chart rivals),atomic kitten,chart rivals,2002,
14175,10,010-3000 metres (3000 metres mix),james hurrican,"minimal privilege, volume 02 (2009)",null,eng.
11321,5,005-d'nachban san necha,los dos y companeros,wou hanna doi? (2002),null,ger.
3493,005,cd 3 - kapitel 05 (selbs betrug),bernhard schlink,selbs betrug,2002,
2010,14,bang time feat. m.o.p. - the green ghost project,styles p,,,english
1342,5,amon duul ii - sally the seducer,,pyragony x,96,english
609,18,018-ojos negros (polca),gladys moreno,embajadora de la cancion (1993),null,spa.
15573,7,dear elaine - the wizzard: greatest hits and more - the emi years,roy wood,,,english
15960,6,leopold von sacher-masoch - venus im pelz 06,,venus im pelz (feat. narrators: bela b. felsenheimer & catherine flemming),5,german
8180,10,you broke my heart in 17 places,tracey ullman,you broke my heart iin 17 places,1984,english
5341,005,my world is empty without you (peace & harmony: the trojan anthology),heptones,peace & harmony: the trojan anthology,2004,
13602,8,008-you haven't seen the last of me (stonebridge dub),cher,haven't,null,eng.
12957,11,dizzy gillespie jazzmen - round about midnight,,the ultimate jazz archive,5,english
13364,11,"011-shine on, harvest moon",ben webster & coleman hawkins,"encyclopedia of ja zz, part 2: swing time (unknown)",null,eng.
7628,16,outro - melomanie,laith al-deen,,'04,german
14131,29,20000429,aube,millennium: aprilis,2000,
12964,1,001-arlequin assassine,serge reggiani,sur scene (2006),null,fre.
2680,1,001-invasion of thunderbolt pagoda (st. marks epiphany),angus maclise,the invasion of thunderbolt pagoda (1999),null,eng.
16051,010,perdoname hermano (la reina del pay-pay),pasion vea,la reina del pay-pay,,
6484,39,intuition,john lennon,"the complete lost lennon taes, volume 18",1998,english
9994,12,keith sweat - chocolate girl,,keith sweat,96,english
11608,1,sittin on a goldmine (intro,smooke e. digglera,sittin on a goldmine,,english
11509,3,003-nineteen eighty bore,crass,christ: the bootleg (199v9),nu ll,eng.
15752,b5,0b5-carol of the drum,george greeley,the 22 best loved christmas piano concertos (1959),null,eng.
17182,8,"myself into myself (gnr remix - 12"")",babylonia,myself into myself,2010,english
282,18,rick white album - its time has come,,137,09,english
1193,9,jag langtar bort - pa din jord,dan viktor,,'00,swedish
5093,10,run run run,the chad mitchell trio,blowin' in the wind,1997,oenglish
6544,0,008-dolphins,bunny rabbit,lovers and crypts (2007),null,eng.
5850,178,by force of arms (e),richard wells & phil sawyer,overkill 2,,english
3437,6,communipaw - ink,,moving till the morning,08,english
3037,18,bonus track,crucial unit,everything went strunk,,
7697,10,unk.,manic,,'09,englsih
13160,12,fila brazillia - spores,,a touch of cloth,99,english
585,2,002-survived yesterday,hellride,and then the earth moved  (2002),null,eng.
9881,7,"moksha - emotional freedom, spiritual liberation",tom colletti,yoga is love,,
3830,17,"a. r. rahman, varttina & christopher nightingale - epilogue (farewells)",,the lord of the rings: original london production,08,english
6458,7,hey you,the quireboys,driving rock: 18 classic anthems,2003,english
7947,6,006-forget about him,kath bloom,loving takes this course: a tribute to the songs of kath bloom (2009),null,eng.
8939,33,mark and brian - 33,,all of me (version 2),95,english
9198,b3,tu as fait de moi un homme meilleur,year of no light,nord,2008,french
6080,002,big riff (piano version) (moons of jupiter),cave in,moons of jupiter,2000,
13168,4,on,aphe xtwin,warpvision: the videos 1989-2004,2004,english
6977,6,"hoovermusic / ...don't appear on no stamp, part ii - most of my heroes still don't appear on no stamp",public enemy,,'12,english
101,5,005-piranhes,rattler,demo 2012 (unknown),null,eng.
1472,1,001-brother green (the disco king),roy ayers ubiquity,mystic voage (1993),null,eng.
14578,8,008-theft by starlight,adrian crowley,long distnace swimmer (2008),null,eng.
1932,4,ei sheket - my invisible romance,guy gerber & dop,,'09,
3654,8,the cotton pickers' song - the definitive new christy minstrels,new christy minstrels,,,english
4742,002,i fall to pieces (golden greats),patsy cline,golden greats,1991,
13745,6,samsons - bukan diriku,,naluri lelaki,06,indonesin
9393,007,"stripped (2006-04-29: empire polo field, indio, ca, usa)",depeche mode,"2006-04-29: empire polo field, indio, ca, usa",2006,
10560,17,promised landh - the anthology,chuck berry,,'00,englihs
5187,5,avskum - the massacre in fallujah,,uppror underifran,,null
612,4,janitor,pyrior,oceans procellarum,2010,english
15145,5,005-mystery ov tzar's visionaire act ii,asgaard,eyemdx-tasy (2004),eyemdx-tasy (2004),eng.
9978,20,-tahdon rakatella s.,pelle miljoona & 1980,80-luvun huiput 1: 20 hittia vuosilta 1980-1981 (2013),null,fin.
2721,16,016-anestesia,adrmo,7 de julio (2013),null,spa.
18919,013,presents,foremost poets,fuse presents hell,2000,
7253,20,020-take me in your arms (rock me a little while),kim weston,motown classics: the soul of a nation (2003),null,eng.
3868,3,003- i,,(2006),null,rsus.
11355,001,cha'am (plaze),mikolaj hertel,plaze,2000,cha'am (plaze)
5051,8,carry me up to smell pine,sin fang bous,clangour,2008,english
16302,2,deserted hill - autumn sun,hypnoz,,hypnoz,english
5770,6,006-spin the black circle,pearl jam,"2003-02-11: sydney entertainment centre, sydney, australia (unknown)",null,eng.
11866,7,wenn du denkst du denkst dann denkst du nur du denkst,unknown,25 jahre deutsche hit parade: 1975,1995,german
3813,12,012-mi forma de tiraera,vico c,en honor a la verdad (unknown),null,unknown
18681,002,ap11008 (the return to the acid planet),funkstorung,the return to the acid planet,2005,
8119,12,the walk - staring at the sea: the singles,cure,,'01,english
1637,011,chronological,harlem hamfats,"complete recorded works in chronological order, volume 1: 18 april to 13 november 1936",1994,
11271,008,hello (turn your radio on) (kuschelrock 7),ushakespears sister,kuschelrock 7,1993,
9890,7,darkness of a lie - inccandescence,samadhi,,,english
5129,001,preserved roses (trailer movie),"t.m.revolutionxshui shu nai """,preserved roses,2013,
13488,5,away from me,puddle of mudd,best of puddle of mudd,2010,english
4450,6,bob dylan - delia,,world gone wrong,93,english
7320,001,dschun (schleifscheibe),dschungelorchester,schleifscheibe,1995,
9373,11,hot stomping - contemporary impact,francis monkman & malcolm ironton,,,english
10128,104,scandinavian mazurka (modern/tradition: scandinavia),lars-luis linek,modern/tradition: scandinavia,,
2807,009,alaska pipeline (roachstomper),carcharodon,roachstomper,2013,
14486,003,rich bitch (everything based),lil b,everything based,2011,
6586,17,a very good reason - musica viva,mozar terra,,,portuguese
5196,2,everlasting snow - 1st x'mas,dream,,'03,japanese
17794,004,irene (la mia fisarmonica),castellina-pasi,la mia fisarmonica,,
17425,21,021-i threw away the rose,merle haggard,down every road (1996),null,eng.
10303,3,klaus schulze - opheylissem,,audentity,05,german
463,6,006-ocomber,scythelence,appaseasonato (2011),null,eng.
12484,1,001-wanna be ya baby,teenage radio stars,lethal weapons (1978),null,eng.
4396,4,east 17 - set me free,,steam,94,english
6115,3,using the note - white lines,white lines,,'01,english
10951,6,rascalz - top of the world,,"orion na gramofonech: low budget, volume 1",2,english
5835,2,002-karma,the waterboys,glastonbury song (1993),null,eng.
2109,4,bombsquad - gravediggers of rock,,indicator,05,englishh
16951,b1,tides,medlar,sleep (2013),null,eng.
9717,2,squirrel nut zippers - carolina christmas,,in store play sampler fall 1998,98,english
2009,021,"supergabber (the braun mtv eurochart '97, volume 4)",hakkuhbar,"the braun mtv eurochart '97, volume 4",1997,n.a.
9768,7,007-karen said,the arms of someone new,susan sleepwalking (2000),null,eng.
8154,003,bxm: cres: attention (brand x music catalogue: editor's essentials),"john anthony sponsler, jr. & tom gire",brand x music catalogue: editor's essentials,,
9954,16,"resonet, intonet - abballati, abballati! canti e suoni della sicilia medievale",al qantarah,,'99,[multiple languages]
16255,25,hooray! - cthulhu saves the world,gordon mcneil,,'11,
16374,16,016-holy thursday,david axelrod,all back to mine (1999),null,eng.
18259,12,malk de koijn - 24 karat(e),,smash hit in aberdeen,98,danish
14573,159,on the level,alex adams & james abbott,commercial breaks,,english
7894,10,don't keep me knocing - walk on water,katrina and thew aves,,'97,english
19250,008,bremen nacht (alternative) (the frenz experiment),fall,the frenz experiment,1997,
14567,4,"going home - goodbye, beijing.",jason chu,,,english
9019,3,unknown,charles walker,leavin' this old town,2000,english
6948,4,siobhan - slippy's in the bar,,welfare state,04,english
6393,6,twenty-twenty surgery - louder now: partone,taking back sunday,,'06,english
7382,2,mamboleo - fiesta summer dance,loona,,'99,english
15981,9,l'autoroute - assis la,batlik,,'05,fqrench
14515,21,this is kevin - finding generation,,slowly to the sun,99,[multiple languages]
214,2,echo elephant,luna negra,soundproof demo,2009,english
11610,008,"symphonie fantastique, op. 14: v. dream of a sabbath night: d. dies irae and sabbath round together (symphonie fantastique / the sorcerer's apprentice / night on bald mountain)",,symphonie fantastique / the sorcerer's apprentice / / night on bald mountain,1990,
15695,1,saturdagy - type iii,paris match,,'02,japanese
18123,002,mravljincarji in celadarji (starsi vasih radosti),lacni franz,starsi vasih radosti,2004,
10423,5,must be santa,mitch miller and the gang,holiday sing along with mitch,,engllish
16486,003,de winkel van sinkel (ibbeltje),annie m.g. schmidt,ibbeltje,1999,
16622,4,a chantar,contesa de dia,ahi! amours,,[multiple languages]
315,002,"diamond head (history of michigan garage bands in the 60's, volume 1: wheels 4: label story)",lost souls,"history of michigan garage bands in the 60's, volume 1: wheels 4: label story",1994,
14981,2,002-soul korea,the feeling's mutual,the feeling's mutual (unknown),null,enng.
12437,5,one way - cutie pie,,old school jams: gold,07,english
12847,011,"crash freestyle (back 2 da lab, volume i)",frisco,"back 2 da lab, volume i",2006,
17752,20,atriums - glory / motivation / power,julian scott,,,english
9765,6,la fille du pere noel,jacques dutronc,"et vous, et vous, et vous...",2010,french
17429,008,boys boys boys (80 : les annees cultes),sabrina salerno,80 : les annees cultes,2006,
18300,26,unite 8a u- couleurs de france: 1 bleu / cd zum ubungsteil,langenscheidt,,,
8312,6,negligent collateral collapse - made in fleshland,,28 minutes of silence for all innocent victims... and boneses,10,english
6189,1,crazy p - sun science (hot toddy radio edit),,subn science cdsg,06,english
2451,10,010-junkyard,the rhombu,margins (2005),null,eng.
6784,4,when you're gone - fiction,fiction,,'08,english
4989,13,013-singing (dixon dub),agoria feat. scalde,live in cordoba: unmixed (2012),null,eng.
16866,4,freshman 15 - are you ready for this?,,5 ways to get to third base,,english
3471,10,james last - tenderly (try a little tenderness),,instrumental magic,,null
402,4,004-love & peace =,,best friends (2013),null,jap.
11614,6,sonda-me,celia valadao,celia valadao,,portuguese
14053,123000,enlightenment,clive murray,earthman,,englsih
2694,2,kluzinski period,brand x,xcommunication,1992,english
229,4,what is this thing called love? - cutting edge 1 & 2,delirious?,,'94,english
18217,3,003-beauty and the beast (feat. celine dion & peabo bryson),alan menken,disney's greatest hits (2005),null,unknown
12447,3,"003-brandenburgisches konzert nr. 1 in f-dur, bwv 1046: iii. allegro",johann sebastian bach,brandenburg concertos nos. 1-4 (prague chamber soloists feat. conductor: andrew mogrelia) (unknown),null,gerr.
9805,10,gan bei awa - flow the max !!!,flow,,'13,[multiple languages]
2134,2,002-dreams and nightmares (dreams),message,from books and dreams (1993),null,eng.
5273,7,the singing coal miner - the unbroken circle: songs of the west virginia coalfields,tom breiding,,,english
15754,13,fire horse (remix) - prosto liubit',avraam russo,,'03,russian
18512,13,013-als marktkramer ben ik geboren,the sunsets,the sunsets (2009),null,dut.
6510,009,night life (nurse me),3-11 porter,nurse me,2003,
16315,1 9,019-i'll be home for christmas,the coverlettes,christmsa (& more!) album (unknown),null,eng.
748,15,ghost walking,lamb of god,spin's,2012,english
1971,10,urbanus---hittentit,,urbanus,90,dutch
18646,3,the future,coldrain,through clarity,2012,english
13868,3,valerie,don quichote,don quichote,1997,german
7353,004,pagan baby (chooglin'),creedence clearwater revival,chooglin',|993,
15733,8,008-the song of the quarter-time siren (car battery),tism,the white albun (2004),null,eng.
15516,6,du bringst mich nicht runter,abwarts,rom,1996,germa
11466,3,talakik,hakim,talakik,,arabic
16690,12,ongbird,hayley westenra,the best of pure voice,2010,
7977,3,the art of brain eating - neon green tokyo tentacles,drill bra,,,english
2482,002,"mirrors (giant cuts, volume 3)",deadly sins,"giant cuts, volume 3",2010,
5871,002,"biomusicology (2004-07-19: valentine's, albany, ny, usa)",ted leo and the pharmacists,"2004-07-19: valentine's, albany, ny, usa",,
17757,5,amphiba part 5,patrick rondat,amphibia (2003),null,eng.
4458,006,donne moi une chance (toi + moi),gregoire,toi + moi,2008,
17414,5,gipsy - pharaon,,flamenco sur,,null
17197,7,stretcher case baby - sessions of the damned,damned,,'93,english
18345,0a2,stardust (atom instrumental),martin l. gore,stardust,2003,
10173,6,hellfire club,panic,epidemicc,1991,english
2701,10,radio friendly unit shifter,kurt cobain,kurt's home guitar rehearsals,,english
3491,6,watch the sun come up (fred falke remix) - won't go quietly,example,,'10,english
12426,5,005-the drifter,dominic glynn & martin smith,strange visitations (unknown),null,egn.
9073,3,captain chaos - tading in a 1964 1/2 mustang,,"this is bloomington, volume 1",06,english
3988,9,h416: ix) marche des bergers,marc-antoine charpentier,"in nativtatem domini canticum / messe de minuit (les arts florissants, william christie)",,
10957,7,alone,ohio players,honey,1991,english
12503,5,005-jesus lover of my soul,chris eaton,love divine: the songs of charles wesley for today's generation (2010),null,eng.
13820,9,logic,logic system,logic,'81,english
7812,3,the the fuckin taxi? cunt - rude (all the time),fall,,'05,english
6381,32,patenbrigade: wolff - fassgehange,,baustopp!,12,germ an
11368,005,retro trans mission (retro transmission),chrome,retro transmission,1997,
18373,4,song for kawame - celebrations and solitudes,jayne_cortez,,'74,english
4511,11,basement home - the heat,jesse malain,,'04,english
7336,5,matthew sweet - baby jesus,,yuletunes,91,english
3737,009,my last step (akashic recordings),engelsstaub,akashic recordings,2002,
14338,1,qiu,lai neng adusa,qiu,1993,japanese
15690,21,we can't have hits of our own anymore - 20 big no.2's,stars over 45,,,english
7136,1,nomansland (david's song) (vocal radio edit),dj sakin & friends,nomansland (david's song),1999,enuglish
4977,19,"if it isn't love - encyclopedia of jazz, part 2: swing time",fats waller and his rhythm,,,english
17263,5,005-when you look at me (snippet),christina milian,am to pm (2001),null,eng.
19071,8,kevin gibbs & saranella bell - breeze (b),,voices,,english
2060,2,qian tian you ji  - saranheai ~ shiteru~,,fu shan fa,11,japanese
15644,,songs for violin and orchestra: 6. sweet and low-down,george gershhwin,gershwin fantasy,1998,english
13206,3,concerto no.4 in b flat major - minuet,avisonensemble,john garth - six concertos for the violoncello (disc 2),2 007,english
9302,b7,lied voom sundig - abraham & co,fritz widmer,,'73,"german, swiss"
10881,8,matt bar - worried blues,,lying in chalk,06,english
10953,016,tush (demolition / hit and run),girlschool,demolition / hit and run,1991,
5668,19,u2 - i still haven't found what i'm looking for,,"1992-06-04: westfalenhalle, dortmund, germany",,english
3582,8,coffee girl,the four postmen,dr. demento's basement tapes no. 16,2008,english
12079,12,inborned lycanthropy - torture,,brutality,,null
12327,n.a.,008-bedna od whisky,wanastowi vjecy,best of 20 let (2007),null,
2834,14,blue cloud,daniel johnston,the story of an artist,2010,english
6996,7,banda los recoditos - debajo se los laureles,,lola la bailera,,spanish
3721,5,truck drivin's on of a gun,ferqlin husky,country music 5,1997,english
3728,8,hey hey - one nation under god,tragedy ann,,,
8903,003,"dukhi man mere (a tribute to a legend: kishoore kumar, volume 1)",kishore kumar,"a tribute to a legend: kishore kumar, volume 1",,
1480,1,jozef van wissem & jim jarmusch - etimasia,,the mystery of heaevn,12,english
18043,002,how many times (kaya),bob marley & the wailers,kaya,,
10139,4,"in the eavening - 1980-07-03: the song remains untamed: eisstadion, mannheim, germany",led zeppelin,,,english
18926,43,guy michelmore - goodbye betty,,ultimate avengers 2,0,english
6929,026,"boy meets girl (eurobeat mix) (super eurobeat, volume 200)",trf,"super eurobeat, volume 200",2010,
3244,2,pandora - vuena vista,zin,,'07,japanese
3347,9,faithfully dangerous,over the rhine,"2005-05-28: the music mill, indianapolis, in, usa",,english
19039,1,chopsticks mambo,cal tjader,extremes: cal tjader trio-breathe easy,,
1397,007,"avalon (integrale, volume 3: ""djangology"")",quintette du hot club de france,"integrale, volume 3: ""djangology""",1999,
5275,11,lord pity us all,martin riey,the heavy heavy monster sound: the story of trojan records,2010,english
4368,012,perfect target (fun terminal),mutatns,fun terminal,,
17307,38,038-coconut rum,tiziano tavasanis,travel fever (1998),null,eng.
6946,33,legions of darkness - blood of the dragon,nox arcana,,'06,english
7069,012,hyrule field (twilight symphony),zelda reorchestrated,twilight symphony,,
65,11,011-der weg zum licht,nihilistic front,mia runa (2005),null,eng.
10202,2,anfang,class of music,class of music february 2009,2009,german
5229,005,"symphony no. 40 in g minor, k. 550: i. molto allegro (the great symphonies, volume 1)",wolfgang amadeus mozart,"the great smphonies, volume 1",,
6149,9,prelude - sampler,kit watkins,,'91,english
14444,009,"bless this house (the time-life treasury of christmas, volume two)",perry como,"the time-life treasury of christmas, volume two",1987,
12173,009,little pony (basie boogie),count basie,basie boogie,1991,
17769,5,005-symbiont,celldweller,celldweller limited edition e.p. (2000),null,eng.
15127,7,007-es como es,luz,v (1989),null,spa.
9456,24,tayoririninaruxian bei ? (tvnime {hidamarisuketsuchix}  orizinarusaundotoratsuku {hidamarideizunaito} ),ju gu zhi shu,tvanime {hidamarisuketsuchix}  orizinarusaundotoratsuku {hidamarideizunaito},2010,
696,12,012-bla bla bla,gigi dagostino,as melhores da decada (mixed by celso portioli) (unknown),null,eng.
1179,null,string quartet no. 1 v. figure e - string quartets 1 - 3 (balenescu quartet),michael nyman,,,
3343,9,"robert schumann - symphony no. 4 in d minor, op. 120 (final version, 1851): ii. romanze. ziemlich langsam -",,symphonies nos. 3 & 4 (swedish chamber orchestra feat. conductor: thomas dausgaard),08,english
14603,0,"ari up, parte 2 - assassine",ovo,,'01,italian
2495,8,all that is my own,nico,desertshore,1970,[multiple languages]
5325,4,wintersun - battle against time,,winter sun,06,english
17642,4,masters of reality - gettin' high,,masters of reality,90,english
16047,1,"johannes brahms - ein deutsches requiem op. 45: i selig sind, die da leid tragen",,ein deutsches requiem (royal philharmonic orchestra feat. conductor: andre previn),89,english
5143,5,005-if_you_had_my_love,oncomingt imes,black gold: sought after soul (2007),null,eng.
16562,9,009-some of them are old,eno,here come the warm jets (2004),null,eng.
17067,9,009-jantjes blues,cornelis vreeswijk,het beste van cornelis vreeswijk (1978),null,dut.
10327,1,der wald vor lauter baumen - korrekt,heinz rudolf kunze,,'99,german
6646,12,pearl jam - grievance,,"2006-09-16: arena di verona, verona, italy",06,english
122,004,homuwaku (orizinarukaraoke) (anniversary~ wu xian nicalling you),song ren gu you shi,anniversary~ wu xian nicalling you,1989,
7536,1,joan baez - the banks of the ohio,,songbird,11,english
14950,8,pain of love - the blue beat ska and reggae revolution,cyndy starr & the mopeds,,,english
4431,2,xeros - lakes,lakes,,'05,english
3844,10,lost in blue,naitomea,gmajestical parade,2 009,japanese
5815,9,chore der landesschule pforta - vater uns (heinrich schutz),,"aller augen warten auf dich, herre",,german
16228,005,disillusie (fop (fop,lukraaketaar,fop genade,2005,
7849,5,"005-henryk, part ii",dave stapleton,flight (2012),null,eng.
7085,10,010-,,moon (unknown),null,jap.
12286,1,all the way - your songs,"harry connick, jr.",,'09,english
12486,4,space flower mix - charles wilp fotografiert bunny (remixed at zero g),charles wilp,,'00,english
16699,001,sos (love to the rescue) (thunder and lightning / cosmic curves),dee d. jackson,thunder and lightning / cosmic curves,,
6054,7,veara - big trouble in little tokyo,,the walls have ears,6,english
12778,001,lanquan li jorn (jauffre rudel) (trobar),jean-marie carlotti & michel marre,trobar,,
19279,23,nirvana - turnaround,,"1993-01-23: live at the hollywood rock festival: praca da apoteose, rio de janeiro, brazil",,english
3530,24,un bon chocolat chaud,hannah naiman,savez-vous planter des choux?,,
3350,008,sometimes i feel like a mother (up with what i'm down with),holy childhood,up with what i'm down with,,
17032,20,the big royalty check - the masters,van morrison,,,english
1315,3,eero ja jussi & the boys - that lucky old sun,,uhkapeluri: eero rraittinen 60,04,finnish
5219,5,"concerto no. 3 in g major, bwv 1048: ii. adagio",johann sebastian bach,"j.s. bach :brandenburg concertos nos. 2, 3, 5, 6",,english
14848,2,kiyaputensutoraidamu---northern-flower,,mountain a go go two,04,japanese
13462,011,"symphony no. 68 in b-flat major, hob. i:68: iii. menuetto e trio (symphonies 60 - 71)",joseph haydn,symphonies 60 - 71,,
10564,6,lu zhou  - bu xiang chang da  once upon a time,s.h.e,,'05,chinese
9062,003,"hooked on you (technika europa mix) (club cutz, volume 5)",zoran,"club cutz, volume 5",,
3302,7,minor detail - virtuoso #3,joe pass,,'00,english
15304,001,crabbit shona set (red houuse - heritage of the scottish fiddle),chris duncan & catherine strutt,red house - heritage of the scottish fiddle,2006,
11926,15,bill cosby - seattle,,i started out as a child,64,english
4618,022,happy trumpeter (instrumental favorites),bert kaempfert,instrumental favrites,1996,
10735,13,wie das wasser,godewind,wikinger,1996,german
93,8,mindsweeping - cinematograph,scrooge,,'97,[multiple languages]
17798,1,beyonce - listen,,listen,07,english
10710,11,outsiders (jd twitch & the truffle club's optimo refreak),franz ferdinand,leave them all behind 2,2007,english
7282,10,ancient voices: peace and unity,wayra,great eagle flying with the wind,,english
12867,4,there is no more - toxic wasteland,dofka,,,english
10904,18,018-la java des chaussettes a clous,borisy vian,boris vian chante boris vian (2004),null,fre.
11655,2,"gotterdammerung: act iii, scene i. ""mein schwert zerschwang einen speer"" (siegfried, flosshilde, woglinde, wellgunde) - der ring des nibelungen (metropolitan opera orchestra and chorus feat. conductor: james levine)",richard wagner,,'06,ennglish
4953,15,tiny sister - sila siost r,sistars,,'03,polish
18502,006,"piano concerto no. 11 in f major, k. 413 (k. 387a): tempo di menuetto (piano concertos)",wolfgang amadeus mozart,piano concertos,2005,
15008,6,all mine - the chill pill,portishead,,,english
4074,001,escapade (nip split 01),peter hor revorts,nip split 01,2010,
15997,1,001-p.m.,nite people,p.m. (1970),null,eng.
11928,200,2200-period 2,bob foster,"logos, links & stings, part 1 (unknown)",null,eng.
14876,7,laff - in a blue face,wisp,,'05,english
17578,5,tesseract,stellar vector,you're not included.,2007,english
6976,9,rwake - the lure of light,,voices of omens,07,english
3019,4,004-something wicked,british sea power,the decline of british sea power (2003),null,eng.
3589,6,006-just sick,big ass truck,kent (unknown),null,unknown
19048,1,read my mind,metro area,metro area 7,2007,english
537,6,anda comigo ver os avioes,os azeitonas,salao america,2012,portuguese
