cluster,id,number,title,artist,album,year,language
788,1501,2,002 - the metallophone song no . 1,sebastien roux,s . ( 2006 ),null,eng .
932,1752,001,running up that hill ( a deal with god ) ( hounds of love ),kate bush,hounds of love,1988,
9090,17626,9,009 - get a hold,a tribe called quest,the vibe i ' m on ... ( disc 1 ) ( unknown ),null,eng .
4766,9215,18,018 - purimuy,los chasquis,musica de los andes ( unknown ),null,unknown
8058,15613,5,rig 1 - fresh,,above the tree line west of the periodic,08,english
1712,3297,1,002 - i want to build a jumbo ark,henning strk,somewhere someone ' s falling in love ( 1997 ),null,eng .
226,425,4,desafinado - the muse of bossa nova,nara leao,,,portuguese
9416,18260,4,red garland trio - never let me go,,crossings,90,english
4634,8965,6,salsa dance hall - latino party,eric caspar,,,english
7705,14898,010,human bones soap ( 28 minutes of silence for all innocent victims ... and boneses ),negligent collateral collapse,28 minutes of silence for all innocent victims ... and boneses,2010,
7867,15218,15,en glad blues,povel ramel,ramels klassiker : idel adel povel 1942 - 1991,1992,swedish
7214,13919,15,"preludes , op . 11 no . 15 - preludes , op . 11 / piano sonatas nos . 2 , 3 / etude , op . 8 no .",aleksandr nikolaevich skriabin,,' 06,english
5585,10732,6,"quatorze canons , bwv 1087 : vi . canon simplex uber besagtes fundament a 3 - variations goldberg",johann - sebastian - bach,,' 07,[ multiple languages ]
3019,5799,3,soulsearcher - can ' t get enough ( a cappella ),,can ' t get enough,98,english
883,1664,11,011 - close your eyes / light of hope,steve wynn,dazzling display ( 1992 ),null,eng .
4107,7920,3,mblaq - g . o . o . d luv,,blaq memories - best in korea -,12,japanese
7846,15175,,clear acoustic message - vertical sky,,beautiful silence,09,english
1883,3645,003,vom winde verdreht ( 10 ans ),lydie auvray,10 ans,1992,
1094,2070,3,"that ' s the way love is ( underground mix ) - garage pressure , part one",ten city,,' 97,english
6575,12638,001,hung up ( radio version ),madonna,hung pu,2005,
8074,15645,15,jack hartmann - animal fingers,,math all around me,98,english
1253,2406,004,scummy ( demo ),arctic monkeys,demo,2004,
9462,18350,5,dread ' s law - working class ' ero,judge dread,,' 01,english
917,1724,004,la mer : dialogue du vent et de la mer ( the karajan experience ),claude debussy,the karajan experience,1992,
2472,4761,6,un millon de suenos - cecilia 2,cecilia,,,spanish
2429,4675,2,the flying pickets - let me entertain you,,the next generation - live in hamburg,,english
9231,17911,8,the scheme - man on the roof,stephen fretwell,,' 07,english
1424,2715,9,swan lake act 2 no . 10 - everything you hear is true,piotr il ' ich chaikovskii,,' 89,english
4028,7765,3,ignite,law !,timezones,,null
1944,3753,3,cypress hill - the phunky feel one,,something for the blunted,92,english
9159,17764,19,queste opre e piu - lagrime di san pietro ( ensemble vocal europeen feat . conductor : philippe herreweghe ),orlande delassus,,' 94,italian
6827,13164,3,kapertyneena,jippu,kuka teki minusta tan naisen,2008,finnish
3690,7093,9,gia t o khamogelo - otan kinduneueis paixe ten pourouda,nikos papazoglou,,' 95,greek
8564,16632,005,money honey ( purely ),elvis presley,purely,2008,
7384,14263,2,"002 - you ' re an apple , i ' m an orange",big fat snake,recycled ( 1999 ),null,eng .
7247,13990,2,002 - mr . everyday hero,la dame blanche,the,null,eng .
4856,9387,7,007 - bottoms up !,van hlaen,dallas diver ( unknown ),null,eng .
9639,18680,008,michael mayer ( mind over machine ),sasha,mind over machine,2005,
7038,13583,11,giuseppe verdi - rigoletto : ' e il sol dell ' anima ',,the classical top 100,,[ multiple languages ]
5015,9697,1,001 - crisis point ( a ),graeme pleeth,crisis tv ( unknown ),null,eng .
9328,18096,12,blood mystery ( video edit ),greifenkeil,blood mystery,' 08,english
1014,1908,1,shudder to think - love catastrophe,,get your goat,9 2,english
9986,19351,24,[ untitled ] ( question ),purple penguin,questipon,1998,
1655,3192,015,nucleix ( good hearted woman ),maharajah,good hearted woman,2012,
3398,6530,014,scissors / eeyore ( slipknot ),slipknot,slipknot,2006,
4307,8330,5,paolo martini & paul c - turn on ( ray okpara rmx ),,minimal techno 21,12,null
1357,2606,4,chu chu ( shinichi osawa remix ) - meng huo,moumoon,,' 12,japanese
2570,4945,6,cristina d ' avena - una sirenetta fra noi,,"fivelandia , volume 6",,italian
3908,7525,15,dead man danicng 6 ( 60 ) - beats from the east,matt hill,,' 11,english
2850,5483,005,kabatky deravy ( etzko rict ),psi vojaci,tezko rict,2003,
9067,17581,9,the texas tornadoes - the gardens,,man of somebody ' s dreams - a tribute to chris gaffney,09,engliish
1271,2440,10,we three kings of orient are - 25 songs of christmas,phil keaggy,,' 89,english
2563,4933,12,012 - i ' ve had enough o ' magaluf,the toy dolls,anniversary anthems ( 2000 ),null,eng .
40,78,20,020 - annemarie,feest team,apres ski safari : vol 4 ( 2007 ),null,n . a .
6704,12902,002,fire ( tempel ),colour,tempel,2006,
9743,18888,a2,lay lady lay - before the flood,bob dylan & the band,,' 74,english
7714,14916,77,one of the fallen - mouth full of fist,,most unholy convergence ii,12,english
4747,9180,004,kun sa nukahdat ( tomua tuulessa ),inka,tomua tuulessa,1996,
581,1099,014,"can ' t stop me now ( tiesto remix ) ( club life , volume two : miami )",afrojack & shermanology,"club life , volume two : miami",2012,
3766,7243,11,bonfire - rock ' n ' roll cowboy,,feels - like - comin '- home,96,english
4704,9096,3,ne te retourne pas - boris vian et ses interpretes,renee lebas,,' 05,french
4611,8921,21,mark dinning - teen angel,,baby love : 100 classic love songs of the 50 ' s and 60 ' s,null,english
7445,14395,33,black & white numbers,cuchillo,cuchillo,2008,english
1193,2288,3,a deep dive,nordlight,shanti lounge,2010,english
3798,7296,006,mon mensonge et ma verite ( le telephone pleure ),claude francois,letelephonepleure,1994,
9655,18710,002,up against the wall ( sex beatz e . p .),mr . g,sex beatz e . pu .,2000,
3233,6209,5,005 - a night in nassau,luca bacchetti,live in london ( 2012 ),null,en . g
1896,3666,4,haus der luge / epilog,n . a .,haus der luge,' 89,english
8941,17351,2,002 - living on a traffic island,morane,xeveryone is like you ( 2005 ),null,eng .
3673,7061,,013 - rock of ages / maoz tzur,western wind,chanukkah : in story and song ( 2001 ),null,eng .
2427,4672,9,stray kites - dust to dust to dust to dust,,mieux,12,enlgish
4321,8354,085,mr politician ( americana ),denny earnest,americana,2009,
2320,4466,2,carl perkins - perkins the jukebox keep on playing,,the essential sun collection,99,english
998,1875,003,yardbirdsuite ( simplyjazzgreats ),herbiemann,simplyjazzgreats,2008,
2726,5235,9,anomia,anderegg,anomia,2003,english
4710,9109,4,hesitation,dark muse,bedside dilemma,2001,english
7188,13864,4,insterburg & co . - fussball - blues,,dies escheibe ist ein hit,92,german
2051,3961,3,moon dog mane - you turn me on,,turn it up,,null
7695,14882,3,003 - madam hollywood ( ursula 1000 mix ),felix da housecat feat . miss kittin,keokiclash ( 2003 ),null,eng .
5000,9671,8,monsoon,emmerhoff & the melancholy babies,spin out live,,english
6595,12673,8,chihuahua polka - the instrumental sound of hank thompson ' s brazos valley boys,hank thompson & his brazos valley boys,,' 69,english
4434,8577,9,waiting for a girl like you - classic hits live,foreigner,,' 93,english
8223,15947,17,"romeo et juliette : acte v . "" o ma femme ! oma bien - aimee !"" ( romeo )",charles - francois gounod,"romeo et juliette ( choer et orchestre du capitole de toulouse , feat . conductor : michel plasson , singers : alagna , gheorgiu , van dam )",1998,null
8857,17198,6,my lisa,bay city rollers,dedicaation,,english
8100,15693,6,it ' s all going to end ( siskiyou ),siskiyou,siskiyou,2010,
7170,13828,7,"007 - chorus finale on schiller ' s ' ode to joy ' from symphony no . 9 in d minor , op . 125 "" choral """,ludwig van beethoven,"symphonies no . 5 & 6 and piano concerto no . 5 "" emperor "" ( 1999 )",null,eng .
1340,2577,10,nu tak idi zhe siuda,faktor - 2,zhuravli,,russian
9794,18978,13,013 - scrappy,wookie,pure garage classics ( 2003 ),null,eng .
7082,13665,4,all of this attention is killing me,the cute lepers,ox - compilation # 95,2011,[ multiple languages ]
4075,7858,null,stick your head in a bass drum - live @ revolver,pablo discobar,,' 04,english
434,811,8,008 - oil and water,the american dollar,live in brooklyn ( 2010 ),null,eng .
1523,2914,4,muteant,underwater sleeping society,future on a plate,2012,english
9436,18297,49,049 - deadair,focused,bow ( unknown ),null,unknown
9614,18628,008,"att , nani , ima no kakko yosagena yasuwa ( excel saga original soundtrack , volume 2 )",toshio masuda,"excel saga original soundtrack , volume 2",,
346,650,13,emperor norton ' s stationary marching band - revenge of the undead,,at the nave,08,english
4394,8498,7,cryin ',les paul & mary ford,guitar wizard ( disc 2 ),2002,eng lish
2870,5522,20,funeral dress - lady di ' s after party,,party political bullshit,00,english
7727,14945,011,train song yeah yeah yeah (... gay !),boris the sprinkler,... gay !,2000,
8513,16528,008,the twenty third psalm ( smyphony no . 5 ),ralph vaughan williams,symphony no . 5,1999,
2971,5711,7,007 - the lottery song,nilsson,son of schmilsson ( 2007 ),null,eng .
9589,18583,8,allen hoist - you ' ll never know ( swell session version ),,cafe lounge cigarette : copenhagen blue,09,english
1521,2911,1,bobby vee - rubber ball,,the very best of,,english
7715,14917,6,( zazie fait de la ) bicyclette,plastiscines,lp1,2007,french
5730,11011,011,new york state of mind ( playin ' with my friends : bennett sings the blues ),tony bennett feat . billy joel,playin ' with my friends : bennett sings the blues,2001,
5473,10523,1,shimon and gimble - marrakesh,,marrakesh / snail trail,7,english
5272,10153,10,circle ii circle - symptoms of fate,,full circle - the best of,12,english
1741,3354,1,"lord , lord , lord",chris barberr,in budapest,,english
2634,5070,14,mani svavarsson - master of disguise,,lazytown,06,english
5425,10430,4,punched by an angel - electrics,wadsworth,,,
8125,15742,17,pure white ( outro ),blazo,colors of jazz,2011,english
4706,9101,1,marvin stamm - smilin ' eyes by stefan karlsson,,elegance featuring stefen karlsson tom warrington & eliot zigmund,01,english
6573,12635,3,bigtone - fallen angel,,saad ave .,,null
9037,17534,3,nothing left to say ( altruist remix ),radiolistener,the radiolistener remixes,1999,english
643,1223,11,kansas - what ' s on my mind,,the ultimate kansas,02,english
7452,14409,002,the opener ( no noise ),charlie parker,no noise,2006,
1476,2825,9,the weather girls - hit the road jack,,sexy ghost,,english
5168,9957,13,le petit pain au chocolat - le meilleur de joe dassin,joe dassin,,' 95,french
4106,7916,170,marching news - rhythm and news,jean yves rigo,,,english
5319,10243,3,stompin ' at the savoy,benny goodman,bluebird jazz sampler,1993,english
1908,3688,9,the lundstroms - he didn ' t lift us up to let us down,,movin ' ahead,82,english
6625,12746,8,high fidelity - the green album ( bonus disc ),daddy x,,,english
8434,16369,014,cerberus ( vive la trance ),amon duul ii,vive la trance,2007,
19,33,016,lass mich nie wieder weinen ( denn sie fahren hinaus auf das meer ),peggy brown,denn sie fahren hinaus auf das meer,,
8905,17282,10,010 - act together,the rolling stones,"unsurpassed masters , volume 5 : 1972 - 1976 ( unknown )",null,eng .
7573,14639,022,merlins madness ( no choir ) ( advkenture 2 ),rhett nelson,adventure 2,,
6771,13045,9,ain ' t that too much,gehne vincent,roots of rock ' n ' roll,,english
924,1737,c5,0c5 - down among the budded roses,merle travis & joe maphis,country guitar giants ( 1979 ),null,eng .
3067,5890,017,you should really know ( smash hits ! let ' s party ),"pirates feat . enya , shola ama , naila boss & ishani",smash hits ! let ' s party,2004,
8506,16513,34,"034 - abraham lincoln , george patton war",professor j . rufus fears,life lessons from the great books ( unknown ),null,eg .
5952,11442,2,if i were a rich man - songs from the musicals,topol,,' 97,english
8190,15884,20,nike featuring neko - return of the throne ( long ver .),,gitadora original soundtracks 2nd season,13,japanese
7239,13973,29,"blue train - the man , the world , his music",johnny cash,,' 92,english
889,1673,12,falling in love - hit club 98 . 4,mackenzie feat . jessy,,' 08,englih
9025,17510,9,witch hunt,cows,orphan ' s ttragedy,1994,english
2153,4153,4,oli i rembetes tou dounia,george dalaras,the greek spirit,1994,greek
4702,9093,014,a los pies del gran poder ( la reina del sacromonte ),carmen amaya,la reina del sacormonte,2000,
7959,15413,27,rezitativ ( bass ) - christmas oratorio ( new london consort feat . conductor : philip pickett ),johann sebastian bach,,' 99,english
510,963,12,correct spellings : minor sevenths - the relative pitch ear training supercourse - level 3 - lesson 18,david lucas burge,,,english
9962,19306,1,yue xia mei ren xing - si ci yuan you hao tiao yue,vuidoru,,' 05,japanese
3895,7502,002,kissaround ( tired of fucking ),william,tired of fucking,1998,
2590,4985,4,004 - frosty the snowman,the chipmunks,1997 dillard ' s christmas music collection,1997,eng .
5104,9837,51,rusty van cowboy ( a ) : 30,vasco,indie heart acoustic,,english
9052,17560,9,marilyn on a train,the cleaners from venus,"the cleaners from venus , volumes 1 & 2",2013,english
243,453,002,chinatown ( night and day ),joe jackson,night and day,1990,
9073,17593,18,secretly - knuffelrock 13,jennifer lopez,,' 01,english
6697,12889,12,haindling - aus dem poesiealbum,,muh,89,german
1554,2985,19,mistake,serial joe,pop 2000,2000,english
1874,3630,009,rockin ' the rhythm ( big band fever ),duke ellington & his orchestra,big band fever,1997,
7563,14615,4,004 - danger,sebanelli,run amok ! ( 2000 ),null,eng .
1930,3729,13,lazyfish - statiic no5,,ru . electronic two,03,english
2516,4844,013,aloha - land ( kilima herinneringen ),de kilima hawaiians,kilima herinneringen,,
8189,15882,5,paniq - infuriating circumstances,,beyond good and evil,11,english
4762,9208,6,dos rosas,wilfido vargas,serie 32 ( disc 1 : los grandes del merengue ),,spanish
8351,16205,10,"010 - acto i : reste la , maintenant , pendant que je lirai",georges bizet,"carmen ( orchestre du theatre national de l ' opera de paris feat . conductor : georges pretre , soprano : maria callas ) ( disc 1 ) ( 1991",null,fre .
4453,8608,011,something inside ( devotion : the gold edition ),jessie ware,,unknown,
6815,13145,005,porcupine ( original album series ),echo & the bunnymen,original album series,2000,
7923,15334,009,"sayonara ,",poledouris basli,robocop 3,1993,
7755,15001,15,jewish funkey monkeys - hinei ma tov,,jewish funkey monkeys,04,[ multiple languages ]
3966,7649,1,les joyaux de la princesse - [ untitled ],,die weisse rose live,04,english
7493,14488,8,led zeppelin - that ' s the way,,celebraation day,12,english
9058,17569,005,dark roast ( digital antique ),digitala ntique,digital antique,2010,
2358,4544,007,shake a tail feather ( rev up !! the best of mitch ryder & the detroit wheels ),mitch ryder & the detroit wheels,rev up !! the best of mitch ryder & the detroit wheels,2007,
6295,12089,004,"going underground ( daily mail : solid gold , volume 1 : rocking all over the world )",jam,"daily mail : solid gold , volume 1 : rocking all over the world",2004,
3124,5993,2,sergio mendes - mais que nada,,the swinger from rio : favourites,06,english
9817,19028,003,iziwarunalian ( melodium ),coorie,melodium,2013,
8342,16191,11,[ silence ] - deathby relaxation,with .,,,english
2239,4318,002,you put the flame on it ( victim of love ),charles bradley feat . menahan street band,victim of love,2013,
1167,2235,30,[ religious music ] - iy mother dear,,children ' s songbook : words & music,95,english
6808,13130,12,"012 - oberon , j . 306 : act iii , scene i . duet "" an dem strande der geronne "" ( scherasmin , fatime )",carl maria von weber,oberon ( chor und symphonieorchester des bayerischen rundfunks feat . conductor : rafael kubelik ) ( 2005 ),null,eng .
5572,10708,014,exit music ( for a film ) ( ok computer ),radiohead,ok computer,2009,
8334,16177,9,run away,beni,covers3 :,2013,japanese
4354,8418,21,federico mompou - impresiones intimas : viii . secreto,,spanish encores,,english
4612,8923,15,015 - miami vice theme ( edited version ),jan hammer,themes from miami vice ( 1988 ),null,eng .
4870,9415,5,beachy head,kissing tigers,pleasure of resistance,2004,english
9613,18626,6,ikke mere tid - shaka loveless,shaka loveless,,' 12,danish
9508,18437,005,(...) ( l . u . m . e . - lisbon underground music ensemble ),l . u . m . e . - lisbon underground music ensemble,l . u . m . e . - lisbon underground music ensemble,2010,
8038,15574,005,ta mig tillbaka ( simplistico ),magnus johansson,simplistico,1998,
2422,4665,003,"symphony no . 6 in d minor , op . 104 : iii . poco vivace ( symphonies 4 & 6 )",jean sibelius,symphonies 4 & 6,1996,
7323,14143,8,"008 - woke up ( feat . big bear , royal - t & 40ounce )",awol one & factor,only death can kill you ( 2007 ),null,eng .
8839,17167,14,014 - liquor & whores,bubbles & the shit rockers,trailer park boys : the movie soundtrack ( 2006 ),null,eng .
7953,15401,1,fat white family - auto neutron,,auto neutron,24,english
5674,10902,4,die toten kehren wieder mit dem wind - menschwerdung / staubaonen,,am ufer des sees,null,german
5465,10506,7,usted - stage ( en directo de madrid ),monica naranjo,,,spanish
8915,17297,11,jalan jalan,keith terry & crosspulse,keith terry & crosspulse crosspulse,1994,english
6198,11899,006,night song,ahmad jamal,night song,,
5285,10179,3,you and me song,the wannadies,skelleftea,9198,engllish
3084,5920,21,john mayall - dust in m yblues,,1966 - 1972,,neglish
3888,7485,8,008 - 01 : 23 : 44 ( tschernobyl ),rrohstoff,echtzeitsystem ( 2010 ),null,ger .
9382,18186,009,say it isn ' t so ( the chronological classics : billy eckstine 1947 ),billy eckstine,the chronological classics : billy eckstine 1947,2000,
3799,7299,8,the lonesome one - the trio : live from chicago,oscar peterson trio,,' 97,english
6736,12962,007,eat your heart out sandy nelson ( initial success ),b . a . robertson,initial success,1980,
758,1443,1,001 - arnold layne,pink floyd,the piper at the gates of dawn ( 2007 ),null,eng .
5222,10058,11,911,skadanks,give thanks ( unknown ),null,unknown
6256,12017,4,zabriskie point : crumbling land,pink floyd,a tree full of secrets,1999,english
6338,12183,n . a .,007 - intervene,a road less traveled,rescue ( 2007 ),null,eng .
2482,4782,5,bobby mack - hip shake,,"where blues meets rock , volume 3",00,english
8124,15740,001,"cantata , bwv 60 "" o ewigkeit , du donnerwort ii "": i . aria ( tenore ) e choral ( alto ) "" o ewigkeit , du donnerwort """,johanqn sebastian bach,j . s . bach : complete edition,2010,
649,1232,12,rick springfield - bop ' til you drop,,the best of rick springfield,99,english
8254,16023,,im wunderschonen monat mai,robert schumann,dichtersliefde,2004,[ multiple languages ]
9664,18730,9,009 -,,( unknown ),null,chi .
5460,10493,14,014 - feierabend,heinz rudolf kunze,der golem aus lemgo ( 1994 ),null,ger .
1676,3228,016,"postcards from italy ( 2007 - 10 - 09 : herbst theatre , san francisco , ca , usa )",beirut,"2007 - 10 - 09 :- herbst - theatre ,- san - francisco ,- ca ,- usa",,
7203,13897,11,ernest ranglin - exodus ska,,trojan presents ska,11,engliish
1667,3212,12,nada que no sepas - suena conmigo 2,suena conmigo,,' 11,spanish
8628,16765,2,002 - flying to nowhere,cultura probase,rituals ( unknown ),null,eng .
7495,14491,005,yridge ( raft ),pumice,raft,null,
263,483,8,stormy ight - flashfback through history,trinity house,,' 77,english
2349,4523,015,where were you when i needed you ( det bedste af dansk musik 1963 - 70 ),hitmakers,det bedste af dansk musik 1963 - 70,1998,
6726,12941,1,001 - hands on wheel,china crisis,wishful thinking ( 1997 ),null,eng .
2519,4850,6,gentle on my mind,luka bloom,head & heart,2014,english
1267,2431,21,021 - sahara and dax / taps,john morgan and william stromberg,starship troopers 2 : hero of the federation ( 2004 ),null,eng .
7711,14910,11,prosto tak - okean liubvi,natal ' ia senchukova,,' 97,russian
5559,10684,017,rednecks ( american dreams : ursli pfister singt randy newman ),ursli pfister,american dreams : ursli pfister singt randy newman,2008,
6525,12532,002,new old lady blues ( live at the basement ),jon lord with the hoochie coochie men,live at the bassement,2004,
1336,2567,3,003 - xanandra,mago de oz,"hechizos , pocimas y brujeria ( 2012 )",null,srpa .
5405,10396,7,007 - outro ( the dance of damned souls ),thunderbolt,beyond christianity ( 1996 ),null,eng .
8749,17010,8,monument - dancing with tears in my eyes,ultravox,,' 96,english
5197,10008,13,my frank soul,souleye,adventure,,engliish
8016,15525,12,they might be giants - au contraire,,the spine,04,english
8884,17247,7,almafuerte - buitres,,en vida,97,spanish
630,1197,11,the bolshoi - master of the world,,away : best oft he bolshoi,,english
1147,2189,12,reunion,kompendium,beneatth the waves,2012,english
3822,7342,43,kick _ the _ cactus,totom,mashup,,english
4691,9064,003,push is hush ( everywhere is nowhere ),len faki,everywhere is nowhere,,
1508,2881,6,ol ' man rivear,maynard ferguson,newport suite,1960,english
7114,13731,4,neil diamond - holly holy,,his 12 greatest hits,,english
7267,14027,002,losin ' the humbles ( sense of direction ),climax blues band,sense of direction,,
4898,9469,10,ph . d . - i won ' t let you down,,kuschelrock 17,03,english
796,1511,,017 - tid bit,scaterd few,out of the attic ( 1994 ),null,eng .
5336,10275,22,suta - tosuta - - the idolm @ ster 765pro allstars + gre @ test best ! - sweet & smile !-,shuang hai ya mei / zhen mei,,' 13,japanese
956,1798,19,payback,knowmads,seattle,2009,english
4783,9243,9,"amsterdam - master serie , volume 1",jacques brel,,' 03,french
5909,11356,2,"praveen - no sky , no rain !",,intelligent toys 5,7,english
6157,11819,17,017 - read between the lines,aaliyah,"all aaliyah , vol . 2 ( the dave cash collection ) ( unknown )",null,eng .
7065,13634,8,save the day dub,silent poets,"to come ... 2 another version : dub version , piano , strings version & instrumental",1999,english
2377,4579,8,unintelligent redesign - if you don ' t buy this cd the terrorists win,assault of knowledge,,' 08,english
3970,7655,010,ghost of the cosmonaut ( 21st century space adventure . logbook 1 ),guild navigators,21st century space adventure . logbook 1,2009,
6752,13003,10,"il barbiere di siviglia : act iv , no . 18 . accompagnato ( scena ) "" lo t ' aspettava "" ( rosina , conte , figaro )",giovanni paisiello,il barbiere di siviglia ( hungarian state orchestra feat . conductor : adam fischer ),1998,english
2949,5660,17,how slow,little caesar & the romans,the best of the romans so far 1989 - 2000,,
2787,5352,008,die katze unter den baumen 08 ( das magische messer ( feat . narrator : rufus beck )),philip spullman,das magische messer ( feat . narrator : rufus beck ),2008,
2868,5517,4,004 - like heaven,endanger,addicted to the masses ( 2004 ),null,eng .
1321,2533,329,skill factor,chris goulstone,prom os 3 : rock attack,,english
9973,19326,1,"clarinet quintet in a major , k . 581 : i . allegro - mozart : clarinet quintet in a major / weber / kuffner : clarinet quintet : introduction",w olfgang amadeus mozart,,' 83,english
3926,7562,14,the happy meal song,doktor cocacolamcdonalds,dr coca - cola mcdonalds $ ell $ out,,english
8179,15858,010,you won ' t get any blood from me ( may day ),matt pryor,may day,,
9552,18523,4,de luktar rok - babylonsjukan,timbuktu,,' 05,swedish
2337,4499,015,one last time ( razorblade romance ),him,razorblade romance,2000,
3777,7259,21,021 - the new yorkers,red nichols and his five pennies,the chronological classics : red nichols 1929 ( 2003 ),null,eng .
7559,14609,060,i wui weg ( schlagersound . de ),eddie schlepper & micky wolf,schlagersound . de,,
4132,7973,50,elsa sophia von kamphoevener - die gluckselige nachtigall 07,,daas lachen der scheherazade,08,german
7531,14559,7,dina carroll - so close,,songbirds,,english
4147,8000,11,011 - the sands of time,aquaplanage,prognosis 2 ( 2009 ),null,eng .
7630,14752,26,time toburn,storm,grandmix 2000,2001,english
4696,9077,6,006 - apologies,appease,appease ( unknown ),null,unknowwn
8978,17426,006,"in sabina ( portland strubel ) ( fatea showcase sessions , spring 2012 : walking )",david youngs,"fatea showcase sessions , spring 2012 : walking",2012,
2587,4978,012,anoixan oi ouranoi ( uparkhei logos ),elena paparizou,uparkhei logos,2006,
1250,2399,6,i ask for water,blues goblins,blues goblins,2003,english
7234,13962,4,004 - dentist - saliva pump,sound ideas,sound ideas - digiffects - k03 clickshop ( unknown ),null,eng .
5677,10908,21,mamie smith - golfing papa,,crazy blues : the best of,,english
9620,18640,2,002 - le mur ( the wall ),clint mansell,l ' affaire farewell ( 2009 ),null,fre .
4888,9454,11,"your mother loves you son - cmj new music monthly , volume 116 : september 2003",beulah,,' 03,english
6954,13422,11,011 - movie previews,nick swardson,party ( 2007 ),null,eng .
4063,7837,10,starflyer 59 - ideas for the talented,,my island,06,english
7494,14490,1,lionel hampton orchestra - glad hamp,,hamp in aharlem,,english
4952,9580,48,048 - rectal thermometer,agoraphobic nosebleed,altered states of america ( 2003 ),null,eng .
6312,12128,9,009 -[ untitled ],the continental op,slitch music ( unknown ),null,eng .
7936,15363,3,this is disco ( dave angel remix ),dave angel,this is disco,' 97,english
3869,7449,8,circles,five knuckle,rock sound : armed & dangerous,2004,english
6259,12022,001,the game ( hq ),roy harper,hq,1975,
9384,18192,20,020 - la chanson de cinquante sous,beausoleil,the best of beausoleil ( 1997 ),null,fre .
9430,18282,9,009 - goodfellas ( feat . mafia clikk ),montanamax & chris,auf dem boden der tatsachen ( 2003 ),null,ger .
4831,9337,4,illuminate - everyone on everynight,passafire,,' 09,english
4823,9324,008,san quentin ( live ) ( greatest hits : best of the best ( bonus disc )),johnny cash,greatest hits : of best the best ( bonus disc ),,
367,688,5,ultrasound,,everything picture,99,english
4470,8638,32,""" by any other name "": finale / thematic playoff - star trek : the original series soundtrack collection",fred steiner,,' 12,english
679,1285,17,017 - pass that dutch,missy elliott,"triple j : hottest 100 , vol . xi ( 2004 )",null,eng .
679,15833,17,pass that dutch,missy elliott,"triple j : hottest 100 , volume 11",2004,english
5309,274,007,evil evol ( positivity ),power of dreams,positivity,null,
5309,10223,7,007 - evil evol,power of dreams,positivity ( unknown ),null,unknow
5309,12132,7,evil evol,power of dreams,positivity,,
2003,3750,82,how far caan we go : unknown effect ( 30 second version ),viktor petrov,experiments,,english
2003,3764,082,how far can we go : unknown effect ( 30 second versoin ) ( experiments ),viktor petrrov,experiments,,
2003,3863,82,how far can we go : unknown effect ( 30 second version ) - experiments,viktor petrov,,,english
2003,5037,82,082 - how far can we unknown go : effect ( 30 second version ),viktor petrov,experiments ( unknown ),null,egn .
1681,3240,9,he ' s gonna step on you again - dynamite : the best of glam rock,john kongos,,' 98,english
1681,8597,9,009 - he ' s gonna step on you again,john kongos,dynamite : the best of glam rock ( 1998 ),null,eng .
8996,2896,009,"so fine ( old school , v olume 4 )",howard johnson,"old school , volume 4",,
8996,4355,9,howard johnson - so fine,,"old school , volume 4",,english
8996,7365,9,009 - so fine,howard johnson,"old school , vol . iv ( unknown )",null,eng .
8996,7411,9,so fine,howard johnson,"old school , volume 4",,english
8996,17457,9,"so fine - old school , volume 4",howard johnson,,,english
888,1672,11,011 - ice is on my hands,ralfe band,attic thieves ( 2008 ),null,eng .
888,7657,11,ice is on my hands,ralfe band,attic thieves,2008,engliosh
1211,1175,4,004 - mother forest,wotan,epo s ( unknown ),null,eng .
1211,2327,4,mother forest - epos,wotan,,,english
1211,11639,4,wotan - mother forest,,epos,,english
1211,12165,004,mother forest ( epos ),wotan,epos,,
1211,15263,4,mother forest,wotan,epos,,english
9871,11359,2,kiss - deuce,,icon,10,english
9871,15845,002,deuce ( icon ),kiss,icon,2010,
9871,19130,2,deuce,kiss,icon,2010,english
1801,994,22,oh yeah c,howard a . thompson,"hip - hop chopshop , volume 2",,english
1801,3474,22,022 - oh yeah c,howard a . thompson,"hip - hop chopshop , vol . ii ( unknown )",null,eng .
1801,13615,022,"oh yeah c ( hip - hop chopshop , volume 2 )",howard a . thompson,"hip - hop chopshop , volume 2",,
9810,14774,15,brigitte kaandorp - therapie,,waar gaat zij helemaal alleen heen,01,dutch
9810,19015,015,therapie ( waar gaat zij helemaal alleen heen ),brigittek aandorp,waar gaat zij helemaal alleen heen,2001,
8031,6869,1,only teardrops,emmelie de forest,only teardrops,2013,english
8031,15555,1,only teardrops,emmelie de forest,only teardrops,' 13,english
8031,17040,1,001 - only teardrops,emmelie de forest,only teardrops ( 2013 ),null,eng .
179,345,1,il dorment - frannce,altar k,,' 07,jfrench
179,8415,1,ils dorment,altar k,frannce,2007,french
179,8777,001,ils dorment ( frannce ),altar k,frannce,2007,
179,12191,1,001 - ils dorment,altar k,frannce ( 2007 ),null,fre .
179,16496,1,altar k - ils dorment,,frannce,07,friench
173,327,5,let ' s do it ( let ' s fall in love ) - midnight in paris : music from the motion picture,conal fowkes,,' 11,[ multiple languages ]
173,8241,5,005 - let ' s do it ( let ' s vfall in love ),conal fowkes,mid night in paris : music from from the motion picture ( 2011 ),null,unknown
567,1070,6,vicente amigo - pleamar,,po eta,97,spanish
567,8862,6,006 - pleamar,vicente amigo,n . a .,null,spa .
